external_id,brand,model,device_type_id,part_number,crawled_at
1-257,Panasonic,CS/CU-HU18ZKY,114,-,2026-08-13T02:13:02.931800+00:00
1-258,Panasonic,CS/CU-HU12AKYF,114,-,2026-08-13T02:13:02.931800+00:00
1-259,Panasonic,CS/CU-HU18AKYF,114,-,2026-08-13T02:13:02.931800+00:00
1-260,Panasonic,CS/CU-XU12AKYF,114,-,2026-08-13T02:13:02.931800+00:00
1-261,Panasonic,CS/CU-XU18AKYF,114,-,2026-08-13T02:13:02.931800+00:00
1-262,Panasonic,CS/CU-VU18AKYF,114,-,2026-08-13T02:13:02.931800+00:00
1-263,Panasonic,CS/CU-EU12AKY5FM,114,-,2026-08-13T02:13:02.931800+00:00
1-264,Panasonic,CS/CU-EU18AKY5XFM,114,-,2026-08-13T02:13:02.931800+00:00
1-265,Panasonic,CS/CU-EU24AKY5FM,114,-,2026-08-13T02:13:02.931800+00:00
1-266,Panasonic,CS/CU-NU12ZKY5W,114,-,2026-08-13T02:13:02.931800+00:00
1-267,Panasonic,CS/CU-NU18ZKY5W,114,-,2026-08-13T02:13:02.931800+00:00
1-268,Panasonic,CS/CU-NU12ZKY4W,114,-,2026-08-13T02:13:02.931800+00:00
1-269,Panasonic,CS/CU-NU18ZKY4W,114,-,2026-08-13T02:13:02.931800+00:00
1-270,Panasonic,CS/CU-NU24ZKY4W,114,-,2026-08-13T02:13:02.931800+00:00
1-271,Panasonic,CS-CU-VU18BKYFM,114,-,2026-08-13T02:13:02.931800+00:00
1-272,Panasonic,CS-CU-WU12BKYFM,114,-,2026-08-13T02:13:02.931800+00:00
1-273,Panasonic,CS-CU-EU12BKY5FM,114,-,2026-08-13T02:13:02.931800+00:00
1-274,Panasonic,CS-CU-QU26BKYFM,114,-,2026-08-13T02:13:02.931800+00:00
1-275,Panasonic,CS-CU-EU12BKY3FM,114,-,2026-08-13T02:13:02.931800+00:00
1-276,Panasonic,CS-CU-WU18BKYFM,114,-,2026-08-13T02:13:02.931800+00:00
1-277,Panasonic,CS-CU-NU18AKY5WX,114,-,2026-08-13T02:13:02.931800+00:00
1-278,Panasonic,CS-CU-NU18AKY4WX,114,-,2026-08-13T02:13:02.931800+00:00
1-279,Panasonic,CS-CU-SU18AKY3WX,114,-,2026-08-13T02:13:02.931800+00:00
1-280,Panasonic,CS-CU-NU12AKY5W,114,-,2026-08-13T02:13:02.931800+00:00
1-281,Panasonic,CS-CU-NU12AKY4W,114,-,2026-08-13T02:13:02.931800+00:00
1-282,Panasonic,CS-CU-SU18AKY3W,114,-,2026-08-13T02:13:02.931800+00:00
1-283,Panasonic,CS-CU-SU12AKY3W,114,-,2026-08-13T02:13:02.931800+00:00
1-284,Panasonic,CS-CU-EZ18BKYXFM,114,-,2026-08-13T02:13:02.931800+00:00
1-285,Panasonic,CS-CU-EZ24BKYFM,114,-,2026-08-13T02:13:02.931800+00:00
1-286,Panasonic,CS-CU-EU18BKY3XFM,114,-,2026-08-13T02:13:02.931800+00:00
1-287,Panasonic,CS-CU-EU18BKY5XFM,114,-,2026-08-13T02:13:02.931800+00:00
1-288,Panasonic,CS-CU-SU24AKY3W,114,-,2026-08-13T02:13:02.931800+00:00
1-289,Panasonic,CS-CU-WU24BKYFM,114,-,2026-08-13T02:13:02.931800+00:00
1-290,Panasonic,CS-CU-EU24BKY3FM,114,-,2026-08-13T02:13:02.931800+00:00
1-291,Panasonic,CS-CU-NU24AKY5W,114,-,2026-08-13T02:13:02.931800+00:00
1-292,Panasonic,CS-CU-EU24BKY5FM,114,-,2026-08-13T02:13:02.931800+00:00
1-293,Panasonic,CS-CU-NU24AKY4W,114,-,2026-08-13T02:13:02.931800+00:00
1-294,Panasonic,CS-CU-HU12BKYFM,114,-,2026-08-13T02:13:02.931800+00:00
1-295,Panasonic,CS-CU-HU18BKYFM,114,-,2026-08-13T02:13:02.931800+00:00
1-296,Panasonic,CS-CU-EU18BKY5XPM,114,-,2026-08-13T02:13:02.931800+00:00
1-297,Panasonic,CS-CU-EU18BKY3FM,114,-,2026-08-13T02:13:02.931800+00:00
1-298,Panasonic,CS-CU-VU18CKY5XFMH-P,114,-,2026-08-13T02:13:02.931800+00:00
1-299,Panasonic,CS-CU-HU12CKY5FM-P,114,-,2026-08-13T02:13:02.931800+00:00
1-300,Panasonic,CS-CU-HU18CKY5XFMH-P,114,-,2026-08-13T02:13:02.931800+00:00
1-301,Panasonic,CS-CU-EU18CKY5XFM-G,114,-,2026-08-13T02:13:02.931800+00:00
1-302,Panasonic,CS-CU-EU18CKY5XFM-S,114,-,2026-08-13T02:13:02.931800+00:00
1-303,Panasonic,CS-CU-EU12CKY5FM,114,-,2026-08-13T02:13:02.931800+00:00
1-304,Panasonic,CS-CU-EU18CKY5XFMH,114,-,2026-08-13T02:13:02.931800+00:00
1-305,Panasonic,CS-CU-EU18CKY5XFM,114,-,2026-08-13T02:13:02.931800+00:00
1-306,Panasonic,CS-CU-EU24CKY5FM,114,-,2026-08-13T02:13:02.931800+00:00
1-307,Panasonic,CS-CU-ZU24CKY5FM,114,-,2026-08-13T02:13:02.931800+00:00
1-308,Panasonic,CS-CU-NU12BKY5W,114,-,2026-08-13T02:13:02.931800+00:00
1-309,Panasonic,CS-CU-NU18BKY5WXH,114,-,2026-08-13T02:13:02.931800+00:00
1-310,Panasonic,CS-CU-NU18BKY5WX,114,-,2026-08-13T02:13:02.931800+00:00
1-311,Panasonic,CS-CU-NU24BKY5W,114,-,2026-08-13T02:13:02.931800+00:00
1-312,Panasonic,CS-CU-WU18CKY4XFM-P,114,-,2026-08-13T02:13:02.931800+00:00
1-313,Panasonic,CS-CU-EU12CKY4FM,114,-,2026-08-13T02:13:02.931800+00:00
1-314,Panasonic,CS-CU-EU18CKY4XFM,114,-,2026-08-13T02:13:02.931800+00:00
1-315,Panasonic,CS-CU-EU24CKY4FM,114,-,2026-08-13T02:13:02.931800+00:00
1-316,Panasonic,CS-CU-NU12BKY4W,114,-,2026-08-13T02:13:02.931800+00:00
